label	drawings	engraving	iconography	painting	sculpture	total
Event	5	0	1	18	0
Yellow	2	0	17	7	2
Woodwind instrument	0	0	0	1	0
Land vehicle	2	0	0	0	0
Angel	0	1	9	2	25
Bead	0	0	1	0	0
Crystal	0	0	0	0	1
Playground	0	0	0	0	3
Tail	4	2	0	1	11
Felidae	4	5	0	0	27
Carnivore	12	2	0	2	13
Mustang horse	0	0	0	0	5
Pest	0	1	0	0	0
Pianist	3	0	0	3	0
Velociraptor	0	0	0	0	1
Peony	1	0	0	0	0
Landscaping	0	0	0	2	15
Animation	3	0	1	4	13
Space	1	0	0	3	7
Drink	1	0	0	0	0
Musical instrument	2	1	0	6	1
Valley	0	0	0	2	0
Flame	0	0	0	0	2
Marine biology	0	0	0	0	1
Car	10	1	0	0	1
Airline	0	0	0	1	0
Holiday	0	0	1	1	0
Tapestry	16	30	200	24	0
Garden roses	7	0	0	0	0
Vegetation	0	1	0	2	0
Molding	3	0	0	0	0
Linens	1	0	0	1	0
Door	1	0	2	1	1
Gentleman	30	5	3	263	0
Abdomen	0	0	0	0	1
Horse racing	5	0	0	1	0
Aquarium decor	0	0	0	0	3
Hut	3	3	0	1	0
Stretching	0	0	0	0	2
Archaeological site	0	0	2	0	2
Wrinkle	0	2	1	0	4
Street performance	0	0	0	0	1
Erinaceidae	1	0	0	0	0
Molosser	1	0	0	0	0
Amusement park	0	0	0	0	1
P	1	0	0	1	0
W	1	0	0	0	0
Athletics	0	0	0	0	2
Wilderness	0	1	0	2	0
Stitch	0	0	1	0	0
Monument	4	1	0	0	615
Ball	0	0	0	0	2
Condominium	0	0	0	0	1
Headpiece	3	1	1	22	1
Fog	0	0	0	1	0
Muridae	1	0	0	0	0
Longboard	1	0	0	0	0
White	8	0	0	1	10
Clipper	3	0	0	4	0
Jewellery	0	0	4	6	1
Metropolitan bishop	0	0	10	4	0
u	0	0	0	1	0
Grass family	2	1	0	4	2
Suidae	0	0	0	0	1
Whale	1	0	0	0	0
Roof	0	0	0	0	1
Star	1	0	0	0	3
Fishmonger	0	1	0	0	0
Mosaic	0	0	87	2	1
Vernissage	0	0	1	0	0
Hair accessory	2	0	0	10	2
Songbird	1	0	0	0	0
Crew	0	1	0	0	0
Doll	0	0	0	99	0
Bronze	0	0	70	4	322
Choreography	0	0	0	1	0
Steam frigate	3	1	0	0	0
Bugle	0	0	0	0	1
Ironclad warship	2	2	0	0	0
Whippet	1	0	0	0	1
Furniture	23	5	36	17	24
Bengal tiger	0	0	0	0	1
Fruit	1	0	0	1	0
Composer	0	0	0	1	0
Fortification	0	0	0	0	1
Thumb	0	0	0	0	1
Lectern	0	0	0	0	1
Ballroom	0	0	0	1	0
Demolition	0	0	0	0	1
Military officer	0	0	0	4	0
Conservation-restoration	0	0	0	0	1
Steam engine	0	1	0	0	0
Stone tool	0	0	0	1	0
Tattoo	1	0	2	0	0
Neck	6	0	2	5	15
Ancient dog breeds	4	5	0	3	7
Orange	0	0	0	1	2
Poster	10	10	68	2	1
Coca-cola	1	0	0	0	0
Walk-behind mower	0	0	0	0	1
Spiral	0	1	0	0	2
Working animal	9	4	0	1	5
Hill	0	1	0	3	0
Plumbing fixture	0	0	0	0	1
Origami	0	0	0	0	1
Military aircraft	1	0	0	0	0
Viaduct	0	5	0	0	0
Face	62	9	7	3	24
Wat	1	0	1	0	0
Stream	0	1	0	2	0
Square	2	2	17	3	0
Whiskers	1	3	0	0	0
Skin	0	0	2	0	10
Landmark	8	12	0	0	99
Hand fan	1	0	0	2	0
D	1	0	0	0	0
Hieromonk	0	0	4	6	0
American pit bull terrier	0	0	0	0	1
Zebra	0	0	0	0	1
Wall clock	1	0	0	0	0
Evening	0	0	0	12	0
Pole dance	0	0	0	0	1
Blessing	0	1	37	0	0
Carrack	1	2	0	0	0
Boat	22	29	0	31	0
Root	0	1	0	0	0
Bicycle	0	0	0	0	2
Quilt	0	0	2	1	0
Skull	0	2	0	0	4
Nepenthes	0	0	0	0	1
Town	8	2	0	6	0
Plywood	0	0	0	0	1
Embroidery	0	0	8	0	0
Sangharaja	0	0	0	2	0
Costume	7	1	0	8	1
Adventure game	0	0	0	4	0
Combat	0	0	0	1	0
Napoleon iii style	0	0	1	0	0
Screech owl	0	1	0	0	0
Middle ages	18	40	284	43	1
Discus throw	0	0	0	0	9
Saluki	0	0	0	1	0
Galiot	2	4	0	2	0
Shield	1	0	0	0	0
East indiaman	4	3	0	6	0
Helmet	0	0	0	0	1
Plant community	0	0	0	3	2
Lake district	0	0	0	2	0
White pine	1	0	0	0	0
Arm	24	4	0	0	43
Metropolis	2	0	0	0	3
Vintage advertisement	1	1	0	0	0
Picture frame	34	30	858	200	0
Lamp	0	0	0	0	5
Black rhinoceros	0	1	0	0	3
Outer space	0	0	0	0	1
Sand	1	0	0	1	39
Joint	11	0	0	0	45
Aqua	0	0	0	0	1
Porcelain	1	0	0	5	3
Sleeve	0	0	0	1	1
Balance	0	0	0	0	11
Meteorological phenomenon	0	0	0	1	0
Fontange	2	0	0	11	0
Terrain	6	13	0	10	2
Environmental art	2	0	0	1	91
Haze	1	0	0	3	0
Line	23	5	1	2	0
Headgear	11	4	6	15	3
Retro style	5	4	1	0	0
Sea ice	0	0	0	0	1
Totem pole	0	0	0	0	3
Military person	0	0	0	1	0
Trophy	0	0	0	0	23
Cross	0	0	5	0	4
Armored car	0	1	0	0	0
Gargoyle	0	0	0	0	7
Easter egg	0	0	0	0	1
Sled dog	0	0	0	1	0
Relief	13	7	352	0	39
e	1	0	0	1	0
Church	2	5	5	0	0
Army	1	0	0	0	0
