label	drawings	engraving	iconography	painting	sculpture	total
Auto part	0	0	0	0	1	1
Dog breed	0	0	0	2	1	3
Hand fan	1	0	0	2	0	3
Urban area	0	0	0	0	2	2
Boat	2	19	0	31	0	52
Saddle	0	0	0	2	0	2
Shrub	0	0	0	1	0	1
Town square	1	0	0	0	0	1
Sea	0	0	0	29	2	31
Headgear	3	3	2	15	1	24
Shrine	0	0	12	0	0	12
Hair	5	1	1	9	1	17
Reining	0	0	0	2	0	2
Tourist attraction	1	0	6	9	9	25
Meerkat	0	0	0	0	1	1
Horse	1	3	0	114	13	131
Tropical and subtropical coniferous forests	0	1	0	2	0	3
Dressage	0	0	0	2	0	2
String instrument	0	0	0	2	0	2
Warship	0	1	0	0	0	1
Outdoor furniture	0	0	0	0	2	2
Dreadnought	0	1	0	0	0	1
Loch	0	0	0	4	0	4
Ridge	0	0	0	1	0	1
Metal	1	1	5	6	156	169
Army men	0	0	0	0	1	1
Plucked string instruments	0	0	0	2	0	2
Home	1	1	0	5	1	8
Kangaroo	0	1	0	0	1	2
Statue	0	0	6	2	402	410
Cope	0	0	13	1	0	14
Sunrise	0	0	0	3	0	3
Byzantine architecture	0	2	0	0	0	2
Alps	0	1	0	0	0	1
Rectangle	0	1	5	5	0	11
Plain	0	0	0	12	0	12
Robe	0	0	0	3	1	4
Geology	0	1	0	3	3	7
Music	0	0	0	2	0	2
Glass bottle	0	0	0	1	0	1
Rust	0	0	0	1	0	1
Stallion	1	0	0	7	6	14
African elephant	0	0	0	0	2	2
Whiskers	0	1	0	0	0	1
Property	0	0	0	1	1	2
Choir	0	0	0	1	0	1
Armour	0	1	0	6	0	7
Bowed string instrument	0	0	0	2	0	2
Woodwind instrument	0	0	0	1	0	1
Comb over	0	0	0	1	0	1
Veena	0	0	1	2	0	3
Dusk	0	0	0	1	0	1
Throwing	0	0	0	0	1	1
Figurine	0	0	0	98	206	304
Troop	0	0	0	2	0	2
Dobermann	0	1	0	0	0	1
Botany	3	0	0	0	31	34
Locket	0	0	1	12	0	13
Human anatomy	0	0	0	0	2	2
Miniature	1	5	235	0	3	244
Peach	0	0	1	0	0	1
Number	0	0	0	1	0	1
Spire	0	3	0	0	0	3
Worship	0	0	1	0	0	1
Formation	0	0	0	0	2	2
Nativity scene	0	0	6	6	0	12
Christmas ornament	0	0	1	0	0	1
English lavender	0	0	0	1	0	1
Pineapple	0	0	0	1	0	1
Mural	1	1	16	41	0	59
Aerial photography	0	1	0	0	0	1
Pedestrian	0	0	0	1	0	1
Anthropology	0	0	0	0	2	2
Sailing	0	4	0	5	0	9
Sidewalk	0	0	0	0	1	1
Atmosphere	0	0	0	15	0	15
Wing	0	0	0	2	7	9
Mountain range	0	2	0	1	0	3
Artifact	0	0	5	1	10	16
Steel	0	0	0	0	1	1
Monarchy	0	0	4	7	0	11
Freezing	0	0	0	0	2	2
Red juniper	0	0	0	1	0	1
Coachman	0	0	0	1	0	1
Rural area	2	0	0	11	0	13
Textile	1	11	70	26	0	108
Ship	0	7	0	12	0	19
Magenta	0	0	1	1	0	2
Viking ships	0	1	0	0	0	1
Marine biology	0	0	0	0	1	1
Art	140	203	743	1967	493	3546
Font	0	6	3	8	1	18
Military uniform	0	0	0	1	0	1
Mountain	0	2	0	5	0	7
Sandal	0	0	0	0	1	1
Elder	0	0	5	30	0	35
Ceiling	0	0	0	6	0	6
Horse harness	0	0	0	1	0	1
Cottage	0	1	0	0	0	1
Ornament	0	0	0	2	1	3
Photograph	5	3	0	5	0	13
Ballet	0	0	0	1	0	1
Dolphin	0	0	0	0	1	1
Screenshot	0	0	0	1	0	1
Interior design	0	1	5	10	1	17
Bamboo	0	0	0	0	1	1
Poster	1	4	55	2	1	63
Daytime	0	0	0	2	0	2
Ancient history	2	6	3	1	6	18
Design	0	0	1	2	3	6
Archimandrite	0	0	2	5	0	7
Long hair	2	0	0	7	1	10
Net	0	0	0	0	1	1
Viking	0	0	1	0	0	1
Meteorological phenomenon	0	0	0	1	0	1
Fontange	1	0	0	11	0	12
Fun	0	0	0	0	1	1
Downtown	0	0	0	0	1	1
Animal sports	0	1	0	6	0	7
Orange	0	0	0	1	0	1
Leisure	0	0	0	0	3	3
Ice skating	0	0	0	1	0	1
Pine	0	0	0	1	0	1
Sea otter	0	0	0	1	0	1
Demolition	0	0	0	0	1	1
Land lot	1	0	0	1	0	2
Paper product	7	16	0	1	0	24
History	18	100	184	62	5	369
Hot air balloon	0	1	0	0	0	1
Religious item	0	0	126	1	0	127
Symbol	0	0	2	0	1	3
Religious institute	0	0	13	1	0	14
Hill station	0	0	0	1	0	1
Public event	0	1	0	0	0	1
Pond	0	0	0	4	0	4
Common bottlenose dolphin	0	0	0	0	1	1
Costume hat	0	1	0	0	0	1
Canidae	1	1	0	9	9	20
Mission	0	1	0	0	0	1
Bridge	5	2	0	0	0	7
Bird	0	3	0	2	4	9
Acrylic paint	0	0	1	44	0	45
Clock	0	1	0	0	0	1
Pier	1	0	0	3	0	4
Shimada	1	0	0	0	0	1
Plastic arts	0	0	0	1	0	1
Walk-behind mower	0	0	0	0	1	1
sunflower	0	0	0	1	0	1
Vintage advertisement	0	1	0	0	0	1
Building sand castles	0	0	0	0	4	4
Jumping	0	0	0	0	1	1
Elephants and Mammoths	0	0	0	0	3	3
Supernatural creature	0	1	6	2	0	9
Motif	0	0	0	1	0	1
Deer	0	0	0	0	1	1
Self-portrait	64	10	11	869	0	954
Samurai	0	1	0	0	0	1
Marble	0	0	1	0	19	20
Scene	0	0	0	2	0	2
Sloop	0	1	0	0	0	1
Games	0	2	1	13	3	19
Dance	0	0	0	2	1	3
Macropodidae	0	1	0	0	1	2
Mountainous landforms	0	2	0	1	0	3
Meadow	0	0	0	4	1	5
Ceramic	0	0	0	0	9	9
Mythology	7	44	37	322	19	429
Pond turtle	0	1	0	0	0	1
Mount scenery	0	0	0	1	0	1
Bank	6	0	0	31	0	37
Patriarch	0	0	17	3	0	20
Elephant beetle	0	1	0	0	0	1
Galleon	1	2	0	4	0	7
Painting	72	52	592	1952	0	2668
Glass	0	0	2	1	5	8
Wheel	0	0	0	0	1	1
Vegetation	0	0	0	2	0	2
Wire	0	0	0	1	0	1
Light	0	0	0	2	1	3
Doll	0	0	0	99	0	99
Meditation	0	0	0	0	1	1
Portrait photography	0	0	0	2	0	2
Pre-dreadnought battleship	0	1	0	0	0	1
Gown	0	0	0	107	0	107
Tourism	0	0	0	11	3	14
Grassland	0	0	0	8	1	9
woodworking	0	0	0	0	1	1
