label	drawings	engraving	iconography	painting	sculpture	total
Visual arts	254	149	723	1116	110	2352
Skyline	1	0	0	0	1	2
Hall	0	0	0	1	0	1
Biome	1	2	0	9	4	16
Comics	15	2	1	0	0	18
Grove	0	2	0	0	0	2
Child art	6	0	0	11	0	17
Hill	0	1	0	3	0	4
Park	0	0	0	0	20	20
Galápagos tortoise	0	1	0	0	2	3
Basketball hoop	0	0	0	0	1	1
Darkness	1	2	1	9	2	15
Stone wall	0	0	0	0	1	1
Stately home	2	1	0	6	0	9
Silk	0	0	0	1	0	1
Roar	0	0	0	0	1	1
Sand	1	0	0	1	38	40
Ballroom	0	0	0	1	0	1
Subcompact car	0	0	0	0	1	1
Hay	0	0	0	1	0	1
Tile	0	0	1	2	0	3
Environmental art	2	0	0	1	87	90
Guru	1	0	32	0	1	34
Baggage	0	0	0	0	1	1
Loggerhead sea turtle	0	1	0	0	0	1
Valley	0	0	0	2	0	2
Bob cut	0	1	0	0	0	1
Obelisk	2	0	0	0	1	3
Cuisine	0	0	0	2	0	2
Monument	4	1	0	0	605	610
Yard globe	0	0	0	0	3	3
English riding	4	0	0	0	0	4
Bulldog	1	1	0	0	0	2
Smoking accessory	0	0	1	0	0	1
Freight transport	0	0	0	2	0	2
Shar pei	0	0	0	0	2	2
Fencing	2	0	0	0	1	3
Ecoregion	0	1	0	13	0	14
Urn	0	0	0	0	1	1
Big cats	2	1	0	0	17	20
Swan	0	0	0	0	5	5
Mosque	1	0	0	0	0	1
Skull	0	2	0	0	4	6
Grass family	2	1	0	4	2	9
Snail	0	1	0	0	1	2
Gravel	0	0	0	0	1	1
Composer	0	0	0	1	0	1
Art book	1	0	0	0	0	1
Bird bath	0	0	0	0	1	1
Event	5	0	1	18	0	24
Kettlebell	0	0	0	0	1	1
Peterbald	0	0	0	0	1	1
Sunlight	0	0	0	1	2	3
Castle	2	1	0	1	1	5
Soft drink	1	0	0	0	0	1
Prophet	12	46	914	146	2	1120
Ship of the line	4	3	0	1	0	8
Tableware	3	1	3	14	0	21
Landmark	8	12	0	0	94	114
Motorcycle	2	0	0	1	0	3
Shoulder	3	0	0	0	17	20
Brass	1	0	136	2	22	161
Brig	1	0	0	0	0	1
Turban	1	0	6	1	0	8
Pole dance	0	0	0	0	1	1
Ice	0	0	0	0	5	5
Air travel	0	0	0	1	0	1
Panorama	0	1	0	7	0	8
Headpiece	3	1	1	22	1	28
Aerospace engineering	0	0	0	1	1	2
Bonnet	1	0	0	1	0	2
Metropolitan bishop	0	0	10	4	0	14
Wind	0	0	0	8	4	12
Joint	11	0	0	0	44	55
Church	2	5	5	0	0	12
Insect	0	1	0	0	0	1
Frost	1	0	0	0	0	1
Exhibition	0	0	2	0	1	3
Sunflower	0	0	0	1	0	1
Masai lion	1	0	0	0	0	1
Tire	0	0	0	0	1	1
Urban design	0	0	0	0	5	5
Rim	0	1	0	0	2	3
Sheep	0	1	0	0	0	1
Goat	1	0	0	0	1	2
Daughter	2	0	1	1	0	4
Wildflower	3	1	0	1	0	5
Temple	3	0	58	2	17	80
Mode of transport	6	0	0	1	0	7
